season,game_type,player_id,player_name,last_name,team_abbrev,position,shoots,gp,goals,assists,points,points_per_game,plus_minus,pim,shots,shooting_pct,toi_per_game,ev_goals,ev_points,pp_goals,pp_points,sh_goals,sh_points,ot_goals,gw_goals,fo_win_pct
2016,2,8471303,Alexander Edler,Edler,VAN,D,L,52,6,14,20,0.38461,-8,46,111,0.05405,1467.1538,3,11,3,9,0,0,0,0,NA
2016,2,8477508,Curtis Lazar,Lazar,OTT,C,R,76,6,14,20,0.26315,-1,18,78,0.07692,831.5263,4,14,1,2,1,4,0,0,0.4375
2016,2,8468542,Paul Martin,Martin,SJS,D,L,78,3,17,20,0.25641,13,22,49,0.06122,1243.6666,2,18,1,2,0,0,0,0,NA
2016,2,8476958,Jaccob Slavin,Slavin,CAR,D,L,63,2,18,20,0.31746,1,8,84,0.0238,1259.2222,2,15,0,4,0,1,0,0,NA
2016,2,8471338,Torrey Mitchell,Mitchell,MTL,C,R,71,11,8,19,0.2676,2,51,69,0.15942,761.1408,10,16,0,0,1,3,0,3,0.51603
2016,2,8474709,Matt Martin,Martin,NYI,L,L,80,10,9,19,0.2375,2,119,86,0.11627,633.3875,10,19,0,0,0,0,0,1,0.25
2016,2,8477922,Melker Karlsson,Karlsson,SJS,C,R,65,10,9,19,0.2923,5,16,96,0.10416,811.4153,10,19,0,0,0,0,1,1,0.47826
2016,2,8476423,Reid Boucher,Boucher,NJD,C,L,39,8,11,19,0.48717,-13,6,74,0.1081,856.2051,6,13,2,6,0,0,0,4,0.33333
2016,2,8471476,Daniel Winnik,Winnik,"TOR,WSH",L,L,76,6,13,19,0.25,4,38,101,0.0594,822.9473,6,19,0,0,0,0,0,0,0.4
2016,2,8473673,David Schlemko,Schlemko,NJD,D,L,67,6,13,19,0.28358,-22,16,104,0.05769,1118.9402,5,7,1,12,0,0,0,3,NA
2016,2,8476874,Olli Maatta,Maatta,PIT,D,L,67,6,13,19,0.28358,27,22,95,0.06315,1197.6119,6,17,0,1,0,1,0,2,NA
2016,2,8468493,Ron Hainsey,Hainsey,CAR,D,L,81,5,14,19,0.23456,-13,37,131,0.03816,1339.4814,5,19,0,0,0,0,1,2,NA
2016,2,8471729,Kris Russell,Russell,"CGY,DAL",D,L,62,4,15,19,0.30645,-5,10,70,0.05714,1384.5483,2,15,2,4,0,0,1,1,0
2016,2,8475186,John Moore,Moore,NJD,D,L,73,4,15,19,0.26027,-12,28,106,0.03773,1190.2876,3,13,1,6,0,0,3,3,NA
2016,2,8470151,Jay Bouwmeester,Bouwmeester,STL,D,L,72,3,16,19,0.26388,-4,18,105,0.02857,1386.8472,2,17,1,2,0,0,0,0,NA
2016,2,8469770,Dennis Wideman,Wideman,CGY,D,R,51,2,17,19,0.37254,-9,30,75,0.02666,1236.9019,0,11,2,8,0,0,0,0,NA
2016,2,8476470,Nathan Beaulieu,Beaulieu,MTL,D,L,64,2,17,19,0.29687,-6,55,74,0.02702,1047.4218,1,16,1,3,0,0,0,0,NA
2016,2,8470877,David Jones,Jones,"CGY,MIN",R,R,75,11,7,18,0.24,-7,10,84,0.13095,746.3466,10,17,1,1,0,0,0,2,0.5
2016,2,8474038,Paul Byron,Byron,MTL,L,L,62,11,7,18,0.29032,-9,11,50,0.22,825.5161,8,13,0,0,3,5,1,2,0.6
2016,2,8467329,Vincent Lecavalier,Lecavalier,"PHI,LAK",C,L,49,10,8,18,0.36734,0,22,67,0.14925,794.4081,4,11,6,7,0,0,0,0,0.50769
2016,2,8471390,Mike Santorelli,Santorelli,ANA,C,R,70,9,9,18,0.25714,-4,8,81,0.11111,605.5571,8,15,1,3,0,0,0,1,0.47468
2016,2,8473546,Michael Grabner,Grabner,TOR,L,L,80,9,9,18,0.225,-4,12,116,0.07758,868.15,8,17,0,0,1,1,0,2,0.23076
2016,2,8477955,Jared McCann,McCann,VAN,L,L,69,9,9,18,0.26086,-6,32,106,0.0849,751.3188,8,15,1,3,0,0,0,1,0.34674
2016,2,8474739,Tommy Wingels,Wingels,SJS,C,R,68,7,11,18,0.2647,-10,63,111,0.06306,818.0882,6,13,1,3,0,2,0,0,0.4086
2016,2,8476539,Jonathan Marchessault,Marchessault,TBL,R,R,45,7,11,18,0.4,-10,17,81,0.08641,725.3555,3,11,4,7,0,0,0,1,0.48101
2016,2,8476878,Zemgus Girgensons,Girgensons,BUF,C,L,71,7,11,18,0.25352,0,20,110,0.06363,902.169,6,15,1,2,0,1,1,1,0.45671
2016,2,8474066,Thomas Hickey,Hickey,NYI,D,L,62,6,12,18,0.29032,9,30,55,0.10909,1044.2741,6,18,0,0,0,0,1,2,NA
