season,game_type,team_id,team_abbrev,zone,goals,sog,sh_pct
2026,2,29,CBJ,R Corner,0,1,0
2026,2,29,CBJ,R Net Side,2,58,0.0345
2026,2,29,CBJ,R Point,4,143,0.028
2026,2,24,ANA,Behind the Net,1,16,0.0625
2026,2,24,ANA,Beyond Red Line,3,58,0.0517
2026,2,24,ANA,Center Point,10,163,0.0614
2026,2,24,ANA,Crease,14,85,0.1647
2026,2,24,ANA,High Slot,29,230,0.1261
2026,2,24,ANA,L Circle,24,270,0.0889
2026,2,24,ANA,L Corner,1,8,0.125
2026,2,24,ANA,L Net Side,9,64,0.1406
2026,2,24,ANA,L Point,2,144,0.0139
2026,2,24,ANA,Low Slot,114,617,0.1848
2026,2,24,ANA,Offensive Neutral Zone,3,42,0.0714
2026,2,24,ANA,Outside L,1,191,0.0052
2026,2,24,ANA,Outside R,9,123,0.0732
2026,2,24,ANA,R Circle,28,234,0.1197
2026,2,24,ANA,R Corner,0,3,0
2026,2,24,ANA,R Net Side,8,54,0.1481
2026,2,24,ANA,R Point,9,224,0.0402
2026,2,2,NYI,Behind the Net,0,20,0
2026,2,2,NYI,Beyond Red Line,2,70,0.0286
2026,2,2,NYI,Center Point,8,168,0.0476
2026,2,2,NYI,Crease,18,83,0.2169
2026,2,2,NYI,High Slot,36,224,0.1607
2026,2,2,NYI,L Circle,26,249,0.1044
2026,2,2,NYI,L Corner,0,9,0
2026,2,2,NYI,L Net Side,3,63,0.0476
2026,2,2,NYI,L Point,4,157,0.0255
2026,2,2,NYI,Low Slot,91,535,0.1701
2026,2,2,NYI,Offensive Neutral Zone,3,30,0.1
2026,2,2,NYI,Outside L,7,114,0.0614
2026,2,2,NYI,Outside R,4,116,0.0345
2026,2,2,NYI,R Circle,24,236,0.1017
2026,2,2,NYI,R Corner,0,2,0
2026,2,2,NYI,R Net Side,3,68,0.0441
2026,2,2,NYI,R Point,0,166,0
2026,2,26,LAK,Behind the Net,0,23,0
2026,2,26,LAK,Beyond Red Line,3,71,0.0423
2026,2,26,LAK,Center Point,10,192,0.0521
2026,2,26,LAK,Crease,23,69,0.3333
2026,2,26,LAK,High Slot,33,204,0.1618
2026,2,26,LAK,L Circle,17,189,0.0899
2026,2,26,LAK,L Corner,2,9,0.2222
2026,2,26,LAK,L Net Side,3,50,0.06
2026,2,26,LAK,L Point,4,154,0.026
2026,2,26,LAK,Low Slot,92,589,0.1562
2026,2,26,LAK,Offensive Neutral Zone,2,53,0.0377
2026,2,26,LAK,Outside L,4,138,0.029
2026,2,26,LAK,Outside R,2,127,0.0157
2026,2,26,LAK,R Circle,18,213,0.0845
2026,2,26,LAK,R Corner,0,0,0
2026,2,26,LAK,R Net Side,3,45,0.0667
2026,2,26,LAK,R Point,4,171,0.0234
2026,2,1,NJD,Behind the Net,0,20,0
2026,2,1,NJD,Beyond Red Line,6,63,0.0952
2026,2,1,NJD,Center Point,6,216,0.0278
2026,2,1,NJD,Crease,22,75,0.2933
2026,2,1,NJD,High Slot,28,231,0.1212
2026,2,1,NJD,L Circle,26,224,0.1161
2026,2,1,NJD,L Corner,0,5,0
2026,2,1,NJD,L Net Side,4,47,0.0851
2026,2,1,NJD,L Point,4,131,0.0305
2026,2,1,NJD,Low Slot,91,616,0.1477
2026,2,1,NJD,Offensive Neutral Zone,1,49,0.0204
2026,2,1,NJD,Outside L,2,114,0.0175
2026,2,1,NJD,Outside R,5,159,0.0314
2026,2,1,NJD,R Circle,19,235,0.0809
2026,2,1,NJD,R Corner,0,7,0
2026,2,1,NJD,R Net Side,10,76,0.1316
2026,2,1,NJD,R Point,2,158,0.0127
2026,2,19,STL,Behind the Net,1,15,0.0667
2026,2,19,STL,Beyond Red Line,5,61,0.082
2026,2,19,STL,Center Point,8,149,0.0537
2026,2,19,STL,Crease,16,70,0.2286
2026,2,19,STL,High Slot,40,236,0.1695
2026,2,19,STL,L Circle,21,220,0.0955
2026,2,19,STL,L Corner,0,1,0
2026,2,19,STL,L Net Side,5,54,0.0926
2026,2,19,STL,L Point,2,126,0.0159
2026,2,19,STL,Low Slot,85,471,0.1805
2026,2,19,STL,Offensive Neutral Zone,1,40,0.025
2026,2,19,STL,Outside L,3,88,0.0341
2026,2,19,STL,Outside R,4,102,0.0392
2026,2,19,STL,R Circle,33,245,0.1347
2026,2,19,STL,R Corner,0,4,0
2026,2,19,STL,R Net Side,4,41,0.0976
2026,2,19,STL,R Point,2,154,0.013
2026,2,18,NSH,Behind the Net,1,18,0.0556
2026,2,18,NSH,Beyond Red Line,2,60,0.0333
2026,2,18,NSH,Center Point,10,156,0.0641
2026,2,18,NSH,Crease,24,105,0.2286
2026,2,18,NSH,High Slot,26,190,0.1368
2026,2,18,NSH,L Circle,23,217,0.106
2026,2,18,NSH,L Corner,0,3,0
2026,2,18,NSH,L Net Side,2,46,0.0435
2026,2,18,NSH,L Point,7,143,0.049
2026,2,18,NSH,Low Slot,99,567,0.1746
2026,2,18,NSH,Offensive Neutral Zone,3,43,0.0698
2026,2,18,NSH,Outside L,10,149,0.0671
2026,2,18,NSH,Outside R,7,149,0.047
2026,2,18,NSH,R Circle,19,237,0.0802
2026,2,18,NSH,R Corner,0,5,0
2026,2,18,NSH,R Net Side,4,48,0.0833
2026,2,18,NSH,R Point,5,149,0.0336
2026,2,28,SJS,Behind the Net,0,10,0
2026,2,28,SJS,Beyond Red Line,1,46,0.0217
2026,2,28,SJS,Center Point,9,160,0.0563
2026,2,28,SJS,Crease,28,91,0.3077
2026,2,28,SJS,High Slot,46,219,0.21
2026,2,28,SJS,L Circle,24,202,0.1188
2026,2,28,SJS,L Corner,1,2,0.5
2026,2,28,SJS,L Net Side,7,40,0.175
2026,2,28,SJS,L Point,3,133,0.0226
2026,2,28,SJS,Low Slot,104,576,0.1806
2026,2,28,SJS,Offensive Neutral Zone,1,49,0.0204
2026,2,28,SJS,Outside L,5,134,0.0373
2026,2,28,SJS,Outside R,1,75,0.0133
2026,2,28,SJS,R Circle,14,210,0.0667
2026,2,28,SJS,R Corner,0,1,0
2026,2,28,SJS,R Net Side,3,47,0.0638
2026,2,28,SJS,R Point,2,117,0.0171
2026,2,13,FLA,Behind the Net,2,21,0.0952
2026,2,13,FLA,Beyond Red Line,6,54,0.1111
2026,2,13,FLA,Center Point,6,168,0.0357
2026,2,13,FLA,Crease,16,82,0.1951
2026,2,13,FLA,High Slot,27,220,0.1227
