"category","pos_group","age_int","mean_delta","n","curve_value"
"pk","Forwards",26,-0.0217523976667257,192,0.00301969660108572
"pk","Forwards",27,-0.00301969660108572,178,0
"pk","Forwards",28,0.00291667582723002,169,0.00291667582723001
"pk","Forwards",29,0.0134059852363154,151,0.0163226610635454
"pk","Forwards",30,-0.0236802398389344,131,-0.00735757877538893
"pk","Forwards",31,0.0247491403853744,92,0.0173915616099855
"pk","Forwards",32,0.000466683317248299,70,0.0178582449272338
"pk","Forwards",33,-0.000282762490037318,60,0.0175754824371965
"pk","Forwards",34,-0.0204322804881842,44,-0.00285679805098771
"pk","Forwards",35,9.86827523286995e-05,31,-0.00275811529865901
"pk","Forwards",36,0.0478791295655263,13,0.0451210142668673
"pk","Forwards",37,-0.0574919911324717,6,-0.0123709768656044
"pk","Forwards",38,-0.0991259889618844,3,-0.111496965827489
"pk","Forwards",39,0.132395830391971,1,0.0208988645644823
"pk","Forwards",40,-0.0673510398135653,1,-0.046452175249083
"pp","Defensemen",18,0.0698145974233827,5,0.0417547342087063
"pp","Defensemen",19,-0.0224747501769375,26,0.0192799840317688
"pp","Defensemen",20,-0.00540940119062457,52,0.0138705828411443
"pp","Defensemen",21,0.00368361559956447,62,0.0175541984407087
"pp","Defensemen",22,-0.0041687140018674,93,0.0133854844388413
"pp","Defensemen",23,0.0115172065088316,91,0.0249026909476729
"pp","Defensemen",24,-0.0206614207375313,86,0.00424127021014165
"pp","Defensemen",25,0.00536299740761095,89,0.0096042676177526
"pp","Defensemen",26,-0.0160132914626026,94,-0.00640902384485002
"pp","Defensemen",27,0.00640902384485001,94,0
"pp","Defensemen",28,0.0207908391936607,86,0.0207908391936607
"pp","Defensemen",29,-0.00952633985179086,71,0.0112644993418698
"pp","Defensemen",30,-0.0214119415808335,58,-0.0101474422389637
"pp","Defensemen",31,0.0112861703673763,47,0.00113872812841266
"pp","Defensemen",32,0.0123333807331863,35,0.0134721088615989
"pp","Defensemen",33,0.000173949868059528,32,0.0136460587296585
"pp","Defensemen",34,-0.0650224684042764,23,-0.0513764096746179
"pp","Defensemen",35,0.0567883229553646,17,0.00541191328074672
"pp","Defensemen",36,-0.0133289248927989,18,-0.00791701161205217
"pp","Defensemen",37,0.0195618060173293,11,0.0116447944052771
"pp","Defensemen",38,-0.0370946447471568,5,-0.0254498503418796
"pp","Defensemen",39,-0.0563168330440526,1,-0.0817666833859323
"pp","Defensemen",40,-0.0666472583770946,1,-0.148413941763027
"pp","Forwards",18,0.0162784936749332,28,-0.0122204522669321
"pp","Forwards",19,-0.0137309993910081,68,-0.0259514516579402
"pp","Forwards",20,0.0168638014034552,115,-0.00908765025448505
"pp","Forwards",21,0.000965142621253371,152,-0.00812250763323168
"pp","Forwards",22,-0.000686851576778409,196,-0.00880935921001009
"pp","Forwards",23,-0.0110964520292583,219,-0.0199058112392684
"pp","Forwards",24,0.00307949853414276,231,-0.0168263127051256
"pp","Forwards",25,0.00628788493805243,241,-0.0105384277670732
"pp","Forwards",26,0.00257543803315591,242,-0.00796298973391731
"pp","Forwards",27,0.00796298973391731,229,0
"pp","Forwards",28,-0.0271227270632634,225,-0.0271227270632634
"pp","Forwards",29,-0.00148608287561557,187,-0.0286088099388789
"pp","Forwards",30,0.000337565262745354,178,-0.0282712446761336
"pp","Forwards",31,-0.0150138452399926,147,-0.0432850899161262
"pp","Forwards",32,-0.0201207072047264,111,-0.0634057971208526
"pp","Forwards",33,-0.00132833034975442,86,-0.064734127470607
"pp","Forwards",34,0.0140769342236335,67,-0.0506571932469735
"pp","Forwards",35,-0.0206948866473977,48,-0.0713520798943713
"pp","Forwards",36,0.0329527566286862,28,-0.0383993232656851
"pp","Forwards",37,-0.022834828480948,20,-0.0612341517466331
"pp","Forwards",38,0.0131561924187855,11,-0.0480779593278476
"pp","Forwards",39,0.176475129472262,5,0.128397170144415
"pp","Forwards",40,-0.167762921627276,5,-0.0393657514828614
"pp","Forwards",41,-0.0111789504940114,2,-0.0505447019768728
"pp","Forwards",42,-0.0297262631512919,2,-0.0802709651281647
"pp","Forwards",43,-0.117475612391994,1,-0.197746577520159
"shot_vol_def","Defensemen",18,0.441531286658504,8,1.60124936720912
"shot_vol_def","Defensemen",19,-0.413381017731348,34,1.18786834947777
"shot_vol_def","Defensemen",20,-0.503017101265052,73,0.68485124821272
"shot_vol_def","Defensemen",21,-0.253031719903096,114,0.431819528309624
"shot_vol_def","Defensemen",22,0.296526861187213,180,0.728346389496837
"shot_vol_def","Defensemen",23,-0.669390296424969,205,0.0589560930718678
"shot_vol_def","Defensemen",24,0.0581040774978516,211,0.117060170569719
