"player_id","team_abbrev","gp_onice","cf_5v5","ca_5v5","gf_5v5","ga_5v5","ev_goals","ev_assists","pp_goals","pp_assists","pk_ga","pp_shots","pk_shots_against","pp_gf_onice","pk_ga_onice","xg_for_5v5","xg_against_5v5","pen_taken","pen_drawn","toi_5v5_sec","toi_pp_sec","toi_pk_sec","cf_pct_5v5","gf_per60_5v5","ga_per60_5v5","ev_points_per60","pp_points_per60","pk_ga_per60","pk_save_pct","pp_gf_onice_per60","pk_ga_onice_per60","xg_for_per60_5v5","xg_against_per60_5v5","toi_all_tracked_sec","pen_taken_per60","pen_drawn_per60","penalty_diff_per60"
"8470613","SJS",56,1032,1132,64,90,5,12,0,1,25,46,41,4,4,49.4894493282191,50.9018385217933,18,6,68815,8059,7595,47.7,3.35,4.71,0.89,0.45,11.85,0.3902,1.79,1.9,2.589,2.663,84469,0.77,0.26,-0.51
"8471274","ARI",56,942,980,65,72,3,11,0,0,23,32,19,0,2,41.6694596211019,46.1147115945059,7,8,62220,7385,4493,49,3.76,4.17,0.81,0,18.43,-0.2105,0,1.6,2.411,2.668,74098,0.34,0.39,0.05
"8471709","SJS",51,663,784,44,58,1,5,0,0,21,36,2,4,0,32.4337152380613,33.2474798078765,4,2,45054,6970,1200,45.8,3.52,4.63,0.48,0,63,-9.5,2.07,0,2.592,2.657,53224,0.27,0.14,-0.13
"8471769","ARI",41,468,495,25,41,0,4,0,0,19,32,0,1,0,21.5245991844567,21.4056816181983,9,3,34554,5971,707,48.6,2.6,4.27,0.42,0,96.75,NA,0.6,0,2.243,2.23,41232,0.79,0.26,-0.53
"8473548","ARI",56,651,740,46,61,12,10,0,0,7,0,34,0,2,27.7055701615172,37.0596466968709,6,3,46924,602,6878,46.8,3.53,4.68,1.69,0,3.66,0.7941,0,1.05,2.126,2.843,54404,0.4,0.2,-0.2
"8474053","SJS",53,691,770,48,62,13,6,1,0,15,39,39,2,4,32.0560046185565,36.158312557789,10,8,46830,5456,6495,47.3,3.69,4.77,1.46,0.66,8.31,0.6154,1.32,2.22,2.464,2.78,58781,0.61,0.49,-0.12
"8474218","ARI",41,577,593,30,42,0,4,0,0,14,15,3,1,1,23.0570563800575,29.6784295920224,12,2,36801,3965,758,49.3,2.93,4.11,0.39,0,66.49,-3.6667,0.91,4.75,2.256,2.903,41524,1.04,0.17,-0.87
"8474578","SJS",52,913,1019,60,83,4,7,0,1,16,28,47,3,3,43.4070841720386,51.6185453151702,9,10,59981,4126,7382,47.3,3.6,4.98,0.66,0.87,7.8,0.6596,2.62,1.46,2.605,3.098,71489,0.45,0.5,0.05
"8474889","SJS",34,1345,1440,55,70,0,0,0,0,23,56,42,4,3,61.5893988236785,63.4977010446601,0,3,93213,9423,8722,48.3,2.12,2.7,0,0,9.49,0.4524,1.53,1.24,2.379,2.452,111358,0,0.1,0.1
"8475169","SJS",56,802,856,61,66,12,19,2,2,17,38,48,5,3,38.7244642073638,39.6935138598201,21,18,52485,5406,7473,48.4,4.18,4.53,2.13,2.66,8.19,0.6458,3.33,1.45,2.656,2.723,65364,1.16,0.99,-0.17
"8475171","ARI",46,653,713,42,68,1,8,0,0,20,17,22,0,2,26.18115032278,35.474524540914,16,9,46020,4918,5253,47.8,3.29,5.32,0.7,0,13.71,0.0909,0,1.37,2.048,2.775,56191,1.03,0.58,-0.45
"8475311","ARI",27,1088,1007,34,47,0,0,0,0,15,31,30,1,1,44.3511601189093,42.4479976055736,2,1,75346,7610,7747,51.9,1.62,2.25,0,0,6.97,0.5,0.47,0.46,2.119,2.028,90703,0.08,0.04,-0.04
"8475728","ARI",52,508,571,37,46,8,4,0,0,14,25,1,0,1,22.1031451139424,27.0726229201828,7,13,36776,4494,1201,47.1,3.62,4.5,1.17,0,41.97,-13,0,3,2.164,2.65,42471,0.59,1.1,0.51
"8475834","SJS",29,263,324,15,29,1,4,0,0,10,21,0,4,0,13.2157055321441,16.8759224032983,3,4,17567,2569,526,44.8,3.07,5.94,1.02,0,68.44,NA,5.61,0,2.708,3.458,20662,0.52,0.7,0.18
"8476881","SJS",50,718,683,56,52,11,17,1,0,20,30,35,2,1,35.6750908074901,31.4420245072106,11,11,43079,4765,6119,51.2,4.68,4.35,2.34,0.76,11.77,0.4286,1.51,0.59,2.981,2.628,53963,0.73,0.73,0
"8477851","ARI",43,526,624,37,50,0,7,0,0,11,7,12,1,1,24.2791388541809,29.4993381352397,5,1,37186,3635,3673,45.7,3.58,4.84,0.68,0,10.78,0.0833,0.99,0.98,2.35,2.856,44494,0.4,0.08,-0.32
"8477951","ARI",52,722,654,50,54,6,16,0,0,16,1,34,0,4,34.3961378224776,30.8872685671959,8,19,42731,1065,7050,52.5,4.21,4.55,1.85,0,8.17,0.5294,0,2.04,2.898,2.602,50846,0.57,1.35,0.78
"8477987","SJS",50,477,542,35,43,4,10,0,0,9,0,21,0,2,22.4251588679617,24.8108786971134,5,16,32630,589,4594,46.8,3.86,4.74,1.54,0,7.05,0.5714,0,1.57,2.474,2.737,37813,0.48,1.52,1.04
"8477989","ARI",56,615,720,40,54,5,9,0,0,18,12,29,0,3,27.4394981209771,33.0587380605284,6,10,46240,4939,6692,46.1,3.11,4.2,1.09,0,9.68,0.3793,0,1.61,2.136,2.574,57871,0.37,0.62,0.25
