"player_id","team_abbrev","gp_onice","cf_5v5","ca_5v5","gf_5v5","ga_5v5","ev_goals","ev_assists","pp_goals","pp_assists","pk_ga","pp_shots","pk_shots_against","pp_gf_onice","pk_ga_onice","pen_taken","pen_drawn","toi_5v5_sec","toi_pp_sec","toi_pk_sec","cf_pct_5v5","gf_per60_5v5","ga_per60_5v5","ev_points_per60","pp_points_per60","pk_ga_per60","pk_save_pct","pp_gf_onice_per60","pk_ga_onice_per60","toi_all_tracked_sec","pen_taken_per60","pen_drawn_per60","penalty_diff_per60"
"8480039","COL",60,1193,912,91,55,22,23,4,15,2,437,13,31,13,18,32,59802,10960,1234,56.7,5.48,3.31,2.71,6.24,5.83,0.8462,10.18,37.93,71996,0.9,1.6,0.7
"8480069","COL",54,1089,882,69,55,7,16,3,14,3,417,157,30,13,14,27,59339,10254,5603,55.3,4.19,3.34,1.4,5.97,1.93,0.9809,10.53,8.35,75196,0.67,1.29,0.62
"8480448","COL",63,745,546,55,42,14,6,0,0,0,19,211,15,15,19,20,38443,814,6101,57.7,5.15,3.93,1.87,0,0,1,66.34,8.85,45358,1.51,1.59,0.08
"8480835","COL",63,799,559,58,44,5,11,0,0,0,22,199,16,16,15,16,41351,987,6099,58.8,5.05,3.83,1.39,0,0,1,58.36,9.44,48437,1.11,1.19,0.08
"8481532","LAK",35,402,324,20,20,1,5,0,0,2,27,11,6,10,8,10,20206,838,291,55.4,3.56,3.56,1.07,0,24.74,0.8182,25.78,123.71,21335,1.35,1.69,0.34
"8481641","COL",45,469,344,28,24,1,4,0,0,0,13,57,10,7,4,4,24037,459,2734,57.7,4.19,3.59,0.75,0,0,1,78.43,9.22,27230,0.53,0.53,0
"8482124","LAK",52,828,788,49,49,11,7,2,5,2,183,147,20,26,25,34,47840,5981,4106,51.2,3.69,3.69,1.35,4.21,1.75,0.9864,12.04,22.8,57927,1.55,2.11,0.56
"8482155","LAK",54,824,772,53,43,8,14,2,2,4,225,131,11,21,9,18,47745,6229,4235,51.6,4,3.24,1.66,2.31,3.4,0.9695,6.36,17.85,58209,0.56,1.11,0.55
"8482408","LAK",39,325,314,15,24,2,2,0,0,1,4,11,4,6,12,9,18420,183,240,50.9,2.93,4.69,0.78,0,15,0.9091,78.69,90,18843,2.29,1.72,-0.57
"8482730","LAK",54,1004,885,58,55,3,10,0,6,3,249,16,14,13,24,18,53350,7227,826,53.1,3.91,3.71,0.88,2.99,13.08,0.8125,6.97,56.66,61403,1.41,1.06,-0.35
"8483808","LAK",27,299,277,18,18,3,3,6,3,1,139,10,13,10,8,16,18443,3531,331,51.9,3.51,3.51,1.17,9.18,10.88,0.9,13.25,108.76,22305,1.29,2.58,1.29
"8484149","COL",31,295,246,30,20,3,3,0,0,4,52,4,2,3,4,10,15379,2644,190,54.5,7.02,4.68,1.4,0,75.79,0,2.72,56.84,18213,0.79,1.98,1.19
"8484258","COL",61,1224,875,75,55,8,24,0,0,3,29,71,13,11,11,5,58852,1661,3455,58.3,4.59,3.36,1.96,0,3.13,0.9577,28.18,11.46,63968,0.62,0.28,-0.34
"8475166","TOR",50,674,750,56,59,6,17,8,6,6,209,16,21,15,13,15,43936,5739,1080,47.3,4.59,4.83,1.88,8.78,20,0.625,13.17,50,50755,0.92,1.06,0.14
"8475171","TOR",46,736,840,66,73,5,9,0,6,6,132,37,16,15,30,16,48247,4710,1351,46.7,4.92,5.45,1.04,4.59,15.99,0.8378,12.23,39.97,54308,1.99,1.06,-0.93
"8475690","TOR",8,111,134,11,13,0,2,0,0,0,3,28,1,2,0,2,7911,112,772,45.3,5.01,5.92,0.91,0,0,1,32.14,9.33,8795,0,0.82,0.82
"8475714","TOR",37,272,355,26,33,4,1,0,0,1,17,153,8,12,4,4,21090,687,3933,43.4,4.44,5.63,0.85,0,0.92,0.9935,41.92,10.98,25710,0.56,0.56,0
"8475848","MTL",48,505,461,40,37,3,12,1,1,1,111,8,19,8,17,18,29102,4341,250,52.3,4.95,4.58,1.86,1.66,14.4,0.875,15.76,115.2,33693,1.82,1.92,0.1
"8476853","TOR",46,763,823,58,76,7,11,0,2,5,170,65,13,15,12,7,46466,4983,2599,48.1,4.49,5.89,1.39,1.44,6.93,0.9231,9.39,20.78,54048,0.8,0.47,-0.33
"8476875","MTL",61,1025,1281,65,87,3,12,0,1,1,54,467,31,41,26,22,67775,3152,11833,44.4,3.45,4.62,0.8,1.14,0.3,0.9979,35.41,12.47,82760,1.13,0.96,-0.17
"8476931","TOR",50,792,966,67,79,4,13,0,0,1,38,280,12,18,22,7,56581,1898,6573,45.1,4.26,5.03,1.08,0,0.55,0.9964,22.76,9.86,65052,1.22,0.39,-0.83
"8476932","TOR",15,566,698,33,32,0,0,0,0,2,91,140,8,6,1,3,40972,2935,4158,44.8,2.9,2.81,0,0,1.73,0.9857,9.81,5.19,48065,0.07,0.22,0.15
"8476981","MTL",61,623,733,53,56,10,4,0,0,0,30,246,22,21,40,32,41213,1387,7009,45.9,4.63,4.89,1.22,0,0,1,57.1,10.79,49609,2.9,2.32,-0.58
"8477503","TOR",49,564,733,37,51,3,9,1,2,6,112,5,10,5,20,13,37684,3870,302,43.5,3.53,4.87,1.15,2.79,71.52,-0.2,9.3,59.6,41856,1.72,1.12,-0.6
"8477939","TOR",44,621,664,52,68,13,17,4,9,5,167,17,18,11,8,10,40838,4995,1240,48.3,4.58,5.99,2.64,9.37,14.52,0.7059,12.97,31.94,47073,0.61,0.76,0.15
"8478057","TOR",37,383,466,41,41,7,7,0,0,1,26,25,7,5,12,13,24294,1048,978,45.1,6.08,6.08,2.07,0,3.68,0.96,24.05,18.4,26320,1.64,1.78,0.14
